username,email,password,first_name,last_name,description,photo,type,snow_sports,water_sports,land_sports,air_sports
frosty,abc1@email.net,password,Sean,Klinglesmith,cool dude who likes to film using drones or otherwise,SEAN.jpeg,"Photographer ,Videographer,Drone Operator",Snowboard,Surf,"Skateboard,BMX,Mountain Bike","Sky Dive,Hang Glide"
Cmart,abc2@email.net,password,Christian,Marcy,rad man who loves to shred,Ska1.jpeg,Athlete,Downhill Ski,Water Ski,Skateboard,Hang Glide
JRider,abc3@email.net,password,RJ,Boucher,pro dude who knows how to carve,Rj.jpeg,"Athlete,Pro Athlete","Snowboard,Downhill Ski,snowmobile","Surf,Water Ski",BMX,"Sky Dive,Hang Glide"
balthazar,abc4@email.net,password,Brandon,Wheeler,awesome bro who loves to shred the gnar,Su1.jpeg,Athlete,Snowboard,"Surf,Paddleboard","Mountain Bike, Parkour",Sky Dive
Shred,abc5@email.net,password,Fred,Budde,Fan of sports and loves to take pictures,Ph2.jpeg,"Photographer ,Fan",Downhill Ski,Water Ski,,
Iceman,abc6@email.net,password,Md,Monir,loves to film action sequences,Ph2.jpeg,Videographer,snowmobile,"Surf,Water Ski","Skateboard,BMX,Mountain Bike",
Dhruvp18,abc7@email.net,password,Dhruv,Patel,Timeless traveler ,Ph1.jpeg,"Photographer ,Videographer,Drone Operator",Snowboard,"Surf, Paddleboard",Skateboard,
Andez,abc8@email.net,password,Dylan,Anderson,rad man who loves to shred,SkyDive1.jpeg,"Athlete,Pro Athlete,Drone Operator",Downhill Ski,Water Ski,BMX,"Sky Dive,Hang Glide"
ProfMan,abc8@email.net,password,Dr. ,Baliga,Awesome Professor,Hg1.jpeg,"Athlete,Pro Athlete,Drone Operator",Downhill Ski,Water Ski,,Hang Glide
Dgoodman10,user10@email.net,password,Daniel,Goodman,"Up for anything, lets carve!",SkyDive2.jpeg,Athlete,,"Surf, Water Ski","BMX, Skateboard","Sky Dive,Hang Glide"
HockeyMask11,abc11@email.net,password,Jason ,Vorhees,"Not a big Fan of water sports, but lets hit the snow some time!",Ph1.jpeg,Photographer ,,Kayak,Parkour,Sky Dive
IronMan12,abc12@email.net,password,Tony,Stark,"genius, billionaire, playboy philanthropist, what else do you need?",Su3.jpeg,Athlete,,"Surf, Water Ski","Skateboard,BMX,Mountain Bike",Sky Dive
