username,email,password,first_name,last_name,description,photo,type,snow_sports,water_sports,land_sports,air_sports
frosty,abc1@email.net,password,Sean,Klinglesmith,cool dude who likes to film using drones or otherwise,dogphoto,"photographer,filmographer,droneOperator",snowboard,surf,"skateboard,BMX,mountainBiking","skydive,hangGlide"
Cmart,abc2@email.net,password,Christian,Marcy,rad man who loves to shred,,athlete,ski,waterSki,skateboard,hangGlide
JRider,abc3@email.net,password,RJ,Boucher,pro dude who knows how to carve,,"athlete,proAthlete","snowboard,ski,snowmobile","surf,waterSki",BMX,"skydive,hangGlide"
balthazar,abc4@email.net,password,Brandon,Wheeler,awesome bro who loves to shred the gnar,big wave,athlete,snowboard,surf,mountainBiking,skydive
Shred,abc5@email.net,password,Fred,Budde,fan of sports and loves to take pictures,,"photographer,fan",ski,waterSki,,
Iceman,abc6@email.net,password,Md,Monir,loves to film action sequences,,filmographer,"snowboard,ski,snowmobile","surf,waterSki","skateboard,BMX,mountainBiking","skydive,hangGlide"
Moneyman,abc7@email.net,password,Dhruv,Patel,cool dude who likes to film using drones or otherwise,,"photographer,filmographer,droneOperator",snowboard,surf,skateboard,hangGlide
Andez,abc8@email.net,password,Dylan,Anderson,rad man who loves to shred,,"athlete,proAthlete,droneOperator",ski,waterSki,BMX,"skydive,hangGlide"
ProfMan,abc8@email.net,password,Dr. ,Baliga,Awesome Professor,,"athlete,proAthlete,droneOperator",ski,waterSki,BMX,"skydive,hangGlide"
TQILZAW29,blandit.at.nisi@liberoat.co.uk,BSM87JYI0FH,Daquan,Lambert,Something about the user goes here,,athlete,,"surf, waterSki","BMX, skateboard",hangGlide
RWSVKCU60,Aliquam.erat.volutpat@anteblandit.edu,OJN77YWI2AS,Dominic,Hebert,Something about the user goes here,,photographer,"snowmobile, snowboard",waterSki,,"skydive, hangGlide"
GJUHYYS93,non@mi.co.uk,MDD01JNL1TX,Gail,Ashley,Something about the user goes here,,"droneOperator, proAthlete","ski, snowmobile","waterSki, surf","BMX, skateboard",
RSGCRWK76,Suspendisse@nibhenimgravida.net,VDU74OZP9JU,Yardley,Anthony,Something about the user goes here,,athlete,"snowboard, snowmobile",,BMX,
NDAPOXH86,Nunc.pulvinar.arcu@et.net,CWP48FWK4KK,Quinn,Rosales,Something about the user goes here,,photographer,,surf ,,
ASCNINO56,hendrerit.Donec@metusVivamus.edu,IHA62DEC8UN,Kaitlin,Bates,Something about the user goes here,,"athlete, proAthlete, photographer",ski,waterSki,"skateboard, BMX",
QRJMVGA34,diam.lorem@arcuac.net,IDR56KSJ5WY,Donovan,Blackburn,Something about the user goes here,,athlete,"ski, snowboard, snowmobile","waterSki, surf","BMX, skateboard","hangGlide, skydive"
OEPYRRG66,Vestibulum.ante@dignissim.net,YXC18ZEC4PG,Hadley,Rodgers,Something about the user goes here,,photographer,snowmobile,"waterSki, surf","skateboard, BMX","skydive, hangGlide"
FNLFDCG13,conubia@Aenean.edu,OKW71TCM8IJ,Tyrone,Bird,Something about the user goes here,,athlete,ski,"surf, waterSki",BMX,"hangGlide, skydive"
FZWNHLR81,sodales.at@orci.edu,EWH35LFU8MU,Ronan,Conway,Something about the user goes here,,"droneOperator, proAthlete",,"surf, waterSki",skateboard,"hangGlide, skydive"
